College Name,Course Offered,Fees,Exams Accepted,Highest Package,Review Rating,City,State,ID
"Dr Babasaheb Ambedkar Marathwada University, Aurangabad, Maharashtra",Bachelor of Engineering,,,,4.4,Aurangabad,Maharashtra,43
"MIT World Peace University - MIT WPU, Pune, Maharashtra",Bachelor of Technology (B.Tech),"14,00,000",JEE Main,44.4 LPA,4.4,Pune,Maharashtra,44
"DY Patil College of Engineering (DYPCOE), Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,66,112",MHT CET,45 LPA,4.4,Pune,Maharashtra,45
"Pune Vidhyarthi Griha&rsquo;s College of Engineering and Technology, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,4.3,Pune,Maharashtra,46
"Vidyavardhini&rsquo;s College of Engineering & Technology, Thane, Maharashtra",Bachelor of Technology (B.Tech),"2,50,890",MHT CET,,4.3,Thane,Maharashtra,47
"Shri Ramdeobaba college of Engineering and Management, Nagpur, Maharashtra",Bachelor of Technology (B.Tech),"5,55,468",JEE Main,20 LPA,4.3,Nagpur,Maharashtra,48
"Mahatma Gandhi Mission&rsquo;s Jawaharlal Nehru Engineering College, Aurangabad, Maharashtra",Bachelor of Engineering,,MHT CET,,4.3,Aurangabad,Maharashtra,49
"Pillai&rsquo;s Institute of Information Technology - Engineering - Media Studies & Research (PIIT), Mumbai, Maharashtra",Bachelor of Engineering,"2,65,720",JEE Main,,4.3,Mumbai,Maharashtra,50
"Marathwada Mitra Mandals College of Engineering, Pune, Maharashtra",Bachelor of Engineering,"3,92,000",JEE Main,,4.3,Pune,Maharashtra,51
"Cummins College of Engineering for Women, Pune, Maharashtra",Bachelor of Engineering,"4,12,648",JEE Main,,4.3,Pune,Maharashtra,52
"DY Patil Technical Campus - Talegaon, Pune, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,4.3,Pune,Maharashtra,53
"Babasaheb Naik College of Engineering, Yavatmal, Maharashtra",Bachelor of Engineering,"3,54,014",JEE Main,,4.3,Yavatmal,Maharashtra,54
"Don Bosco Institute of Technology (DBIT), Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"5,07,144",JEE Main,,4.3,Mumbai,Maharashtra,55
"DY Patil University - Mumbai, Mumbai, Maharashtra",Bachelor of Engineering,,,,4.3,Mumbai,Maharashtra,56
"Sinhagad Academy of Engineering, Pune, Maharashtra",Bachelor of Engineering,"3,60,000",JEE Main,,4.3,Pune,Maharashtra,57
"The Shirpur Education Society&rsquo;s RC Patel Institute of Technology, Dhule, Maharashtra",Bachelor of Engineering,"3,68,000",MHT CET,,4.3,Dhule,Maharashtra,58
"AISSMS College of Engineering, Pune, Maharashtra",Bachelor of Engineering,"4,42,404",JEE Main,12 LPA,4.3,Pune,Maharashtra,59
"KK Wagh Institute of Engineering Education & Research, Nasik, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,4.3,Nasik,Maharashtra,60
"Amrutvahini College of Engineering, Ahmednagar, Maharashtra",Bachelor of Engineering,"3,42,020",JEE Main,,4.3,Ahmednagar,Maharashtra,61
"College of Engineering (COEP), Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,62,400",MHT CET,39.20 LPA,4.3,Pune,Maharashtra,62
"National Institute of Construction Management and Research (NICMAR), Pune, Maharashtra",Diploma in Civil Engineering,"12,15,000",,,4.3,Pune,Maharashtra,63
"Priyadarshini Institute of Engineering & Technology, Nagpur, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,4.3,Nagpur,Maharashtra,64
"Sandip University, Nashik, Maharashtra",Bachelor of Technology (B.Tech),"1,80,000",JEE Main,9 LPA,4.2,Nashik,Maharashtra,65
"Anjuman College of Engineering & Technology, Nagpur, Maharashtra",Bachelor of Engineering,"3,52,000",JEE Main,,4.2,Nagpur,Maharashtra,66
"Ramrao Adik Institute of Technology, Mumbai, Maharashtra",Bachelor of Engineering,,JEE Main,,4.2,Mumbai,Maharashtra,67
"DY Patil College of Engineering & Technology, Kolhapur, Maharashtra",Bachelor of Technology (B.Tech),"2,88,000",JEE Main,,4.2,Kolhapur,Maharashtra,68
"University of Pune, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,4.2,Pune,Maharashtra,69
"Nutan Maharashtra Institute of Engineering and Technology, Pune, Maharashtra",Bachelor of Engineering,"2,86,468",MHT CET,,4.2,Pune,Maharashtra,70
"Pimpri Chinchwad College of Engineering, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,54,324",JEE Main,,4.2,Pune,Maharashtra,71
"Dhole Patil College of Engineering (DPCOE), Pune, Maharashtra",Bachelor of Engineering,"4,23,884",JEE Main,12 LPA,4.2,Pune,Maharashtra,72
"Saraswati College of Engineering - Khargar, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"3,76,976",MHT CET,12 LPA,4.2,Mumbai,Maharashtra,73
"Visvesvaraya National Institute of Technology (VNIT), Nagpur, Maharashtra",Bachelor of Technology (B.Tech),"1,66,140",JEE Main,12 LPA,4.1,Nagpur,Maharashtra,74
"Vishwakarma Institute of Technology (VIT), Pune, Maharashtra",Bachelor of Technology (B.Tech),"4,24,352",JEE Main,54.3 LPA,4.1,Pune,Maharashtra,75
"Government College of Engineering, Amravati, Maharashtra",Bachelor of Technology (B.Tech),"60,000",MHT CET,22 LPA,4.1,Amravati,Maharashtra,76
"KJ Somaiya College of Engineering (KJSCE), Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"11,44,000",JEE Main,13 LPA,4.1,Mumbai,Maharashtra,77
"NB Navale Sinhgad College of Engineering, Solapur, Maharashtra",Bachelor of Engineering,,,,4.1,Solapur,Maharashtra,78
"Maharashtra Institute of Technology (MIT Maharashtra), Pune, Maharashtra",Bachelor of Technology (B.Tech),"7,00,272",JEE Main,36 LPA,4.1,Pune,Maharashtra,79
"Modern Education Society&rsquo;s College of Engineering, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,80,000",JEE Main,,4.1,Pune,Maharashtra,80
"PDEA&rsquo;s College of Engineering, Pune, Maharashtra",Bachelor of Technology (B.Tech),,MHT CET,,4.0,Pune,Maharashtra,81
"Vidya Bharati Mahavidyalaya, Amravati, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Amravati,Maharashtra,82
"Terna Public Charitable Trust College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,,MHT CET,,4.0,Mumbai,Maharashtra,83
"Smt Kashibai Navale College of Engineering (for Girls), Pune, Maharashtra",Bachelor of Technology (B.Tech),"2,15,848",JEE Main,,4.0,Pune,Maharashtra,84
"St John College of Engineering and Management, Palghar, Maharashtra",Bachelor of Engineering,,,,4.0,Palghar,Maharashtra,85
"All India Shri Shivaji Memorial Society&rsquo;s College Of Engineering, Pune, Maharashtra",Bachelor of Engineering,,,,4.0,Pune,Maharashtra,86
"Marathwada Mitra Mandals Institute of Technology, Pune, Maharashtra",Bachelor of Engineering,"3,10,000",JEE Main,,4.0,Pune,Maharashtra,87
"Vidya Varti College, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Mumbai,Maharashtra,88
"Sardar Patel College of Engineering (SPCE), Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"2,95,373",JEE Main,21 LPA,4.0,Mumbai,Maharashtra,89
"GVAcharya Institute of Engineering & Technology(GVAIET), Mumbai, Maharashtra",Bachelor of Engineering,,,,4.0,Mumbai,Maharashtra,90
"Terna Engineering College, Mumbai, Maharashtra",Bachelor of Engineering,,JEE Main,5.8 LPA,4.0,Mumbai,Maharashtra,91
"AC Patil College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"3,76,000",JEE Main,,4.0,Mumbai,Maharashtra,92
"MAEERs Women Engineering College, Pune, Maharashtra",Bachelor of Engineering,,,,4.0,Pune,Maharashtra,93
"Rustomjee Academy for Global Careers, Mumbai, Maharashtra",Diploma in Electrical Engineering,,,,4.0,Mumbai,Maharashtra,94
"Patuck Degree College, Mumbai, Maharashtra",Bachelor of Engineering,,,,4.0,Mumbai,Maharashtra,95
"Suvidya Institute of Technology, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,4.0,Mumbai,Maharashtra,96
"Bharati Vidyapeeth University - Navi Mumbai, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Mumbai,Maharashtra,97
"Nashik District Maratha Vidya Prasarak Samaj&rsquo;s College of Engineering, Nashik, Maharashtra",B.Tech(JEE Main),,,,4.0,Nashik,Maharashtra,98
"Government College of Engineering - Nagpur, Nagpur, Maharashtra",B. Tech - Computer Science Engineering,,,,4.0,Nagpur,Maharashtra,99
"Terna College Of Engineering- Osmanabad, Osmanabad, Maharashtra",Bachelor of Engineering,,,,4.0,Osmanabad,Maharashtra,100
"AP Shah Institute of Technology, Thane, Maharashtra",Bachelor of Engineering,,,,4.0,Thane,Maharashtra,101
"Watumull Institute of Electronics Engineering & Computer Technology, Mumbai, Maharashtra",Bachelor of Engineering,"4,00,000",MHT CET,,4.0,Mumbai,Maharashtra,102
"Everest College of Engineering, Aurangabad, Maharashtra",Bachelor of Engineering,,,,4.0,Aurangabad,Maharashtra,103
"SIES Graduate School of Technology, Mumbai, Maharashtra",Bachelor of Engineering,,,,4.0,Mumbai,Maharashtra,104
"Jhulelal Institute Of Technology, Nagpur, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Nagpur,Maharashtra,105
"KC College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,,,,4.0,Mumbai,Maharashtra,106
"MIT Group of Institutions, Aurangabad, Maharashtra",Bachelor of Engineering,,,,4.0,Aurangabad,Maharashtra,107
"DY Patil Technical Campus - Lohegaon, Pune, Maharashtra",B. Tech - Computer Science Engineering,,,,4.0,Pune,Maharashtra,108
"Vishwaniketan&rsquo;s Institute of Management Entrepreneurship and Engineering Technology, Raigad, Maharashtra",B. Tech - Computer Science Engineering,,,,4.0,Raigad,Maharashtra,109
"Lokmanya Tilak College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"5,00,000",JEE Main,6 LPA,4.0,Mumbai,Maharashtra,110
"BV&rsquo;s Group of Institutes College of Engineering Lavale, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,00,000",,,4.0,Pune,Maharashtra,111
"Agnihotri College of Engineering - Wardha, Wardha, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Wardha,Maharashtra,112
"Institute of Chemical Technology (ICT), Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"3,24,000",JEE Main,10 LPA,4.0,Mumbai,Maharashtra,113
"Thakur College of Engineering & Technology (TCET), Mumbai, Maharashtra",Bachelor of Engineering,"5,12,304",JEE Main,,4.0,Mumbai,Maharashtra,114
"Brahma Valley College of Engineering and Research Institute, Nashik, Maharashtra",Bachelor of Engineering,,,,4.0,Nashik,Maharashtra,115
"KE Society&rsquo;s Rajarambapu Institute of Technology, Sangli, Maharashtra",Bachelor of Technology (B.Tech),"3,48,000",JEE Main,5.5 LPA,4.0,Sangli,Maharashtra,116
"Government College of Engineering, Jalgaon, Maharashtra",Bachelor of Technology (B.Tech),"2,60,338",,,4.0,Jalgaon,Maharashtra,117
"Symbiosis Skills and Open University, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Pune,Maharashtra,118
"University Institute of Chemical Technology, Jalgaon, Maharashtra",Bachelor of Technology (B.Tech),"6,40,000",MHT CET,22 LPA,4.0,Jalgaon,Maharashtra,119
"Kolhapur Institute of Technology&rsquo;s College of Engineering, Kolhapur, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,4.0,Kolhapur,Maharashtra,120
"DN Patel College of Engineering, Nandurbar, Maharashtra",Bachelor of Technology (B.Tech),"2,00,000",MHT CET,,4.0,Nandurbar,Maharashtra,121
"Parvatibai Genba Moze College of Engineering, Pune, Maharashtra",Bachelor of Engineering,"2,40,000",MHT CET,,4.0,Pune,Maharashtra,122
"S S Jondhle College of Engineering & Technology - Asangaon, Thane, Maharashtra",B. Tech - Computer Science Engineering,,,,4.0,Thane,Maharashtra,123
"Vishwakarma Institute of Information Technology (VIIT), Pune, Maharashtra",Bachelor of Engineering,"7,37,316",JEE Main,41 LPA,4.0,Pune,Maharashtra,124
"Priyadarshini College of Engineering, Nagpur, Maharashtra",Bachelor of Engineering,"4,07,275",JEE Main,,4.0,Nagpur,Maharashtra,125
"AISSM Society&rsquo;s College of Engineering (AISSM COE), Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,41,348",JEE Main,,4.0,Pune,Maharashtra,126
"Rajarshi Shahu College of Engineering, Pune, Maharashtra",Bachelor of Engineering,,MHT CET,,4.0,Pune,Maharashtra,127
"Symbiosis International University (SIU), Pune, Maharashtra",B.Tech(Hons.),"11,60,000",,,4.0,Pune,Maharashtra,128
"Atharva College of Engineering, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"3,75,140",MHT CET,4 LPA,4.0,Mumbai,Maharashtra,129
"STES Smt Kashibai Navale College of Engineering, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,56,000",JEE Main,3 LPA,4.0,Pune,Maharashtra,130
"MS Bidve Engineering College, Latur, Maharashtra",Bachelor of Technology (B.Tech),"1,21,100",JEE Main,,4.0,Latur,Maharashtra,131
"Dr JJ Magdum College of Engineering, Kolhapur, Maharashtra",Bachelor of Technology (B.Tech),"3,88,000",JEE Main,,4.0,Kolhapur,Maharashtra,132
"MH Saboo Siddik College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"18,00,000",MHT CET,12 LPA,4.0,Mumbai,Maharashtra,133
"PVPP College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"22,80,000",JEE Main,24 LPA,4.0,Mumbai,Maharashtra,134
"Nagesh Karajgi Orchid College of Engineering and Technology, Solapur, Maharashtra",B.E (Hons),,,,4.0,Solapur,Maharashtra,135
"Yeshwantrao Chavan College of Engineering, Nagpur, Maharashtra",Bachelor of Engineering,"6,07,204",JEE Main,8.3 LPA,4.0,Nagpur,Maharashtra,136
"Government College of Engineering and Research, Pune, Maharashtra",Bachelor of Engineering,"98,200",MHT CET,80 LPA,4.0,Pune,Maharashtra,137
"Shree Ramchandra college of Engineering, Pune, Maharashtra",Bachelor of Technology (B.Tech),"2,62,320",MHT CET,3 LPA,4.0,Pune,Maharashtra,138
"Shri Guru Gobind Singhji College of Engineering & Technology, Nanded, Maharashtra",Bachelor of Technology (B.Tech),"1,97,094",MHT CET,,4.0,Nanded,Maharashtra,139
"Rizvi College of Engineering - RCOE, Mumbai, Maharashtra",Bachelor of Engineering,"3,30,000",JEE Main,,4.0,Mumbai,Maharashtra,140
"Sardar Patel Institute of Technology (SPIT), Mumbai, Maharashtra",Bachelor of Engineering,,MHT CET,,4.0,Mumbai,Maharashtra,141
"Kavikulguru Institute of Technology & Science (KITS), Nagpur, Maharashtra",Bachelor of Engineering,"1,98,880",MHT CET,,4.0,Nagpur,Maharashtra,142
"Rajiv Gandhi College of Engineering - Research and Technology, Chandrapur, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Chandrapur,Maharashtra,143
"Kavayitri Bahinabai Chaudhari North Maharashtra University, Jalgaon, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Jalgaon,Maharashtra,144
"Godavari Foundation&rsquo;s Godavari College of Engineering, Jalgaon, Maharashtra",Bachelor of Engineering,"2,27,380",MHT CET,,4.0,Jalgaon,Maharashtra,145
"Yashwant Rao Chauhan College of Engineering, Nagpur, Maharashtra",Bachelor of Engineering,"4,42,100",,,4.0,Nagpur,Maharashtra,146
"SSBT&rsquo;s College of Engineering & Technology, Jalgaon, Maharashtra",Bachelor of Technology (B.Tech),"2,42,280",JEE Main,,4.0,Jalgaon,Maharashtra,147
"SSVP Sanstha&rsquo;s Bapusaheb Shivajirao College of Engineering, Dhule, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,4.0,Dhule,Maharashtra,148
"Maharashtra academy of naval education and training, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,4.0,Pune,Maharashtra,149
"Sanjivani Rural Education Society&rsquo;s College of Engineering, Ahmednagar, Maharashtra",Bachelor of Engineering,"3,60,000",MHT CET,,4.0,Ahmednagar,Maharashtra,150
"KJ Somaiya Institute of Engineering and Information Technology, Mumbai, Maharashtra",B.E (Hons),,,,3.9,Mumbai,Maharashtra,151
"Sinhgad College of Engineering, Pune, Maharashtra",Bachelor of Engineering,"7,60,608",JEE Main,55 LPA,3.9,Pune,Maharashtra,152
"Sandip Institute of Technology and Research Centre (SITRC), Nashik, Maharashtra",Bachelor of Engineering,"91,000",JEE Main,,3.8,Nashik,Maharashtra,153
"Ajeenkya DY Patil University, Pune, Maharashtra",Bachelor of Technology (B.Tech),"9,20,000",JEE Main,14 LPA,3.8,Pune,Maharashtra,154
"Bharati Vidyapeeth University- Pune, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,3.8,Pune,Maharashtra,155
"G M Vedak Institute of Technology, Raigad, Maharashtra",Bachelor of Technology (B.Tech),,,,3.8,Raigad,Maharashtra,156
"Rashtrasant Tukadoji Maharaj Nagpur University, Nagpur, Maharashtra",Automobile Engineering,,,,3.8,Nagpur,Maharashtra,157
"Sinhgad Institute of Technology, Pune, Maharashtra",Bachelor of Engineering,"3,58,200",JEE Main,,3.8,Pune,Maharashtra,158
"Brahmdevdada Mane Institute of Technology, Solapur, Maharashtra",Bachelor of Engineering,,,,3.7,Solapur,Maharashtra,159
"Xavier Institute of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"3,00,000",JEE Main,,3.7,Mumbai,Maharashtra,160
"Pune Institute of Computer Technology - PICT, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,84,000",JEE Main,112 LPA,3.7,Pune,Maharashtra,161
"GH Raisoni College of Engineering, Nagpur, Maharashtra",Bachelor of Technology (B.Tech),"1,10,000",JEE Main,,3.7,Nagpur,Maharashtra,162
"Datta Meghe College of Engineering, Mumbai, Maharashtra",Bachelor of Engineering,"3,62,906",JEE Main,,3.7,Mumbai,Maharashtra,163
"Government College of Engineering, Karad, Maharashtra",Bachelor of Engineering,"3,38,404",MHT CET,12 LPA,3.7,Karad,Maharashtra,164
"MGM&rsquo;s College of Engineering & Technology (MGMCET), Mumbai, Maharashtra",Bachelor of Technology (B.Tech),"1,38,880",MGM CET,,3.5,Mumbai,Maharashtra,165
"Late G N Sapkal College of Engineering, Nasik, Maharashtra",Bachelor of Engineering,,,,3.5,Nasik,Maharashtra,166
"JT Mahajan College of Engineering, Jalgaon, Maharashtra",Bachelor of Engineering,"2,53,685",JEE Main,3.6 LPA,3.5,Jalgaon,Maharashtra,167
"Dr DY Patil Vidyapeeth, Pune, Maharashtra",Bachelor of Technology (B.Tech),,,,3.5,Pune,Maharashtra,168
"Bharati Vidyapeeth University College of Engineering, Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,95,864",JEE Main,12 LPA,3.5,Pune,Maharashtra,169
"Bapurao Deshmukh College of Engineering, Wardha, Maharashtra",Bachelor of Engineering,,JEE Main,3.86 LPA,3.5,Wardha,Maharashtra,170
"Jamia Institute of Engineering and Management Studies, Nandurbar, Maharashtra",Bachelor of Engineering,,,,3.5,Nandurbar,Maharashtra,171
"Rajmata Jijau Shikshan Prasarak Mandal&rsquo;s ACS College, Pune, Maharashtra",Bachelor of Engineering,,,,3.5,Pune,Maharashtra,172
"Jawaharlal Darda Institute of Engineering & Technology, Yavatmal, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,3.5,Yavatmal,Maharashtra,173
"International Institute of Information Technology - ISquareIT, Pune, Maharashtra",Bachelor of Engineering,"2,88,750",JEE Main,,3.5,Pune,Maharashtra,174
"Pravin Patil College of Diploma Engineering and Technology, Thane, Maharashtra",Diploma in Computer Engineering,,,,3.5,Thane,Maharashtra,175
"PES Modern College of Engineering (MCOE), Pune, Maharashtra",Bachelor of Technology (B.Tech),"3,36,000",MHT CET,29 LPA,3.5,Pune,Maharashtra,176
"Vidyalankar Group of Institutes, Wadala, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,3.4,Wadala,Maharashtra,177
"DKTE Society&rsquo;s Textile & Engineering Institute, Kolhapur, Maharashtra",B. Tech - Computer Science Engineering,"3,32,920",JEE Main,,3.3,Kolhapur,Maharashtra,178
"Hi-Tech Institute of Technology, Aurangabad, Maharashtra",Bachelor of Engineering,"2,54,400",JEE Main,,3.3,Aurangabad,Maharashtra,179
"JSPM&rsquo;s Jayawantrao Sawant College of Engineering (JSCOE), Pune, Maharashtra",Bachelor of Engineering,"1,45,000",MHT CET,6.0 LPA,3.3,Pune,Maharashtra,180
"Universal College of Engineering, Thane, Maharashtra",Bachelor of Engineering,"65,990",MHT CET,20 LPA,3.3,Thane,Maharashtra,181
"KDK College of Engineering, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,JEE Main,,3.3,Mumbai,Maharashtra,182
"St Francis Institute of Technology, Mumbai, Maharashtra",Bachelor of Engineering,"4,32,840",JEE Main,10 LPA,3.3,Mumbai,Maharashtra,183
"VYWS Prof Ram Meghe Institute of Technology & Research, Amravati, Maharashtra",Bachelor of Engineering,,MHT CET,,3.3,Amravati,Maharashtra,184
"Dr Rizvi College of Engineering, Mumbai, Maharashtra",Bachelor of Technology (B.Tech),,,,3.3,Mumbai,Maharashtra,185
